CNPJ_CIA,NOME_CIA,ANO,SETOR,ORIGEM,DT_REFER,X1_CG_AT,X2_PL_AT,X3_EBIT_AT,X4_PL_PT,altman_z_pp,zona_altman,comp_ok
02.998.611/0001-04,ISA CTEEP,2022,Energia,DFP,2022-12-31 03:00:00,0.10472866666356527,1.0,0.45452562760614135,1.8084050955738382,8.900257621178788,Segura,4
02.998.611/0001-04,ISA CTEEP,2023,Energia,ITR,2023-03-31 03:00:00,0.11045733412571566,1.0,0.12897152925888142,1.7827883701583198,6.723216577150613,Segura,4
02.998.611/0001-04,ISA CTEEP,2023,Energia,ITR,2023-06-30 03:00:00,0.07440103787871492,1.0,0.24416743700905036,1.65301095671085,7.12453748973158,Segura,4
02.998.611/0001-04,ISA CTEEP,2023,Energia,ITR,2023-09-30 03:00:00,0.07888361445914022,1.0,0.3410102564001933,1.6315578108530826,7.7822011352569955,Segura,4
02.998.611/0001-04,ISA CTEEP,2023,Energia,DFP,2023-12-31 03:00:00,0.0984009537314811,1.0,0.45207384162180686,1.7745780287133395,8.806753402326065,Segura,4
02.998.611/0001-04,ISA CTEEP,2024,Energia,ITR,2024-03-31 03:00:00,0.12059463367606292,1.0,0.13242444222103647,1.8311486555558778,6.863699136974009,Segura,4
02.998.611/0001-04,ISA CTEEP,2024,Energia,ITR,2024-06-30 03:00:00,0.11738916630507319,1.0,0.24107925731250937,1.8305972790344278,7.572252683087493,Segura,4
02.998.611/0001-04,ISA CTEEP,2024,Energia,ITR,2024-09-30 03:00:00,0.10816123368793283,1.0,0.41657978747155006,1.8108390609308989,8.6703348787791,Segura,4
02.998.611/0001-04,ISA CTEEP,2024,Energia,DFP,2024-12-31 03:00:00,0.10794759784588402,1.0,0.5351293344323997,1.8556927678575255,9.512682775505127,Segura,4
02.998.611/0001-04,ISA CTEEP,2025,Energia,ITR,2025-03-31 03:00:00,0.13231247390186218,1.0,0.13324057861420305,1.9438192527063247,7.064356732425301,Segura,4
