feature,importancia_total,rank,familia
roe_roll4_mean,0.05153227884465915,72,Lag/Roll
margem_bruta_lag4,0.05075302790865655,73,Lag/Roll
TARGET_DRE_3.01_ITR_T2_roll4_mean,0.04623040056870513,74,Lag/Roll
int_setor_Commodities_macro_selic,0.04597007698552545,75,Outro
TARGET_DRE_3.11_ITR_T2_roll4_mean,0.04559585167147613,76,Lag/Roll
FCF_roll4_mean,0.044895692417784606,77,Lag/Roll
alavancagem_de_yoy,0.04337848372506564,78,YoY
cobertura_juros,0.042898368817561865,79,KPI base
FCF_lag4,0.042657593759647484,80,Lag/Roll
margem_liquida,0.041192707751147896,81,KPI base
prop_BPP_2.03,0.04049253652380812,82,Outro
fco_lucro_lag1,0.038555645349850946,83,Lag/Roll
TARGET_DRE_3.11_ITR_T1_lag4,0.038239715793354605,84,Lag/Roll
int_setor_Petróleo_macro_cambio,0.03722250842083446,85,Outro
int_setor_Petróleo_macro_selic,0.0370495716927113,86,Outro
TARGET_EBITDA_ITR_T2_diff1,0.03699917600495751,87,Outro
fco_lucro_lag2,0.03677260551117249,88,Lag/Roll
liquidez_corrente_roll4_mean,0.03668101937978061,89,Lag/Roll
EBITDA_yoy,0.03571677060290184,90,YoY
macro_ipca,0.03558923130984495,91,Macro
FCF_diff1,0.034931478516472575,92,Outro
conversao_caixa_roll4_mean,0.03392327658340341,93,Lag/Roll
giro_ativo_yoy,0.033272862128948866,94,YoY
cobertura_juros_lag1,0.03250766785608794,95,Lag/Roll
EBITDA,0.03246705747128399,96,KPI base
liquidez_corrente_lag4,0.032459157869813036,97,Lag/Roll
