cnpj,empresa,setor,ano_base,target,variavel,algoritmo,y_pred_2026_bi
02.998.611/0001-04,ISA CTEEP,Energia,2026,TARGET_BPP_2.03_DFP,Patrimônio Líquido,GradientBoosting,6.5426
02.998.611/0001-04,ISA CTEEP,Energia,2026,TARGET_DRE_3.01_DFP,Receita Líquida,GradientBoosting,7.8892
07.859.971/0001-30,Taesa,Energia,2026,TARGET_BPA_1.01_DFP,Ativo Circulante,GradientBoosting,6.1118
07.859.971/0001-30,Taesa,Energia,2026,TARGET_BPA_1_DFP,Ativo Total,GradientBoosting,17.3196
07.859.971/0001-30,Taesa,Energia,2026,TARGET_EBITDA_DFP,EBITDA,GradientBoosting,10.8127
07.859.971/0001-30,Taesa,Energia,2026,TARGET_DFC_MI_6.01_DFP,FCO,GradientBoosting,1.6949
07.859.971/0001-30,Taesa,Energia,2026,TARGET_DRE_3.11_DFP,Lucro Líquido,GradientBoosting,1.4034
07.859.971/0001-30,Taesa,Energia,2026,TARGET_BPP_2.01_DFP,Passivo Circulante,GradientBoosting,2.0876
07.859.971/0001-30,Taesa,Energia,2026,TARGET_BPP_2_DFP,Passivo Total,GradientBoosting,17.3196
07.859.971/0001-30,Taesa,Energia,2026,TARGET_BPP_2.03_DFP,Patrimônio Líquido,GradientBoosting,5.7561
07.859.971/0001-30,Taesa,Energia,2026,TARGET_DRE_3.01_DFP,Receita Líquida,GradientBoosting,5.4735
33.000.167/0001-01,Petrobras,Petróleo,2026,TARGET_BPA_1.01_DFP,Ativo Circulante,GradientBoosting,52.7567
33.000.167/0001-01,Petrobras,Petróleo,2026,TARGET_BPA_1_DFP,Ativo Total,GradientBoosting,335.0098
33.000.167/0001-01,Petrobras,Petróleo,2026,TARGET_EBITDA_DFP,EBITDA,GradientBoosting,34.6993
33.000.167/0001-01,Petrobras,Petróleo,2026,TARGET_DFC_MI_6.01_DFP,FCO,GradientBoosting,5.162
33.000.167/0001-01,Petrobras,Petróleo,2026,TARGET_DRE_3.11_DFP,Lucro Líquido,GradientBoosting,9.1781
33.000.167/0001-01,Petrobras,Petróleo,2026,TARGET_BPP_2.01_DFP,Passivo Circulante,GradientBoosting,46.1473
33.000.167/0001-01,Petrobras,Petróleo,2026,TARGET_BPP_2_DFP,Passivo Total,GradientBoosting,335.0098
33.000.167/0001-01,Petrobras,Petróleo,2026,TARGET_BPP_2.03_DFP,Patrimônio Líquido,GradientBoosting,25.3507
33.000.167/0001-01,Petrobras,Petróleo,2026,TARGET_DRE_3.01_DFP,Receita Líquida,GradientBoosting,66.9173
10.629.105/0001-68,Prio,Petróleo,2026,TARGET_BPA_1.01_DFP,Ativo Circulante,GradientBoosting,5.6027
10.629.105/0001-68,Prio,Petróleo,2026,TARGET_BPA_1_DFP,Ativo Total,GradientBoosting,20.6019
10.629.105/0001-68,Prio,Petróleo,2026,TARGET_EBITDA_DFP,EBITDA,GradientBoosting,22.4011
10.629.105/0001-68,Prio,Petróleo,2026,TARGET_DFC_MI_6.01_DFP,FCO,GradientBoosting,2.2787
10.629.105/0001-68,Prio,Petróleo,2026,TARGET_DRE_3.11_DFP,Lucro Líquido,GradientBoosting,3.3359
10.629.105/0001-68,Prio,Petróleo,2026,TARGET_BPP_2.01_DFP,Passivo Circulante,GradientBoosting,2.5437
10.629.105/0001-68,Prio,Petróleo,2026,TARGET_BPP_2_DFP,Passivo Total,GradientBoosting,20.6019
10.629.105/0001-68,Prio,Petróleo,2026,TARGET_BPP_2.03_DFP,Patrimônio Líquido,GradientBoosting,6.9216
